stop_name,Avg. Weekday Ridership (FY23),Ridership_Change_21-23,stop_count,average_daily_stops,geometry,Avg_Weekday_Ridership_23,Ridership_Change_21_23,Avg_Daily_Stops,Weighted_Score,Rank
ZOO STATION,0.02336448598130841,0.06888068880688808,1329,0.17746113989637308,POINT (2487199.2835609 6956605.85254279),280,45,190.0,0.0732677001664695,43.0
8TH & CORINTH STATION,0.1629068643248469,0.21648216482164823,1200,0.15284974093264247,POINT (2491589.868131509 6959336.786459272),1146,285,171.0,0.17378640860099612,18.0
WESTMORELAND STATION,0.2326780534966162,0.13960639606396064,2073,0.31476683937823835,POINT (2469231.634831382 6948676.747022521),1579,160,296.0,0.22993233560885784,10.0
MORRELL STATION,0.044634224943602974,0.11808118081180813,370,0.0,POINT (2490368.643322292 6956325.4468972245),412,125,53.0,0.05183740767475352,56.0
ILLINOIS TC/STATION,0.12487914921044153,0.22755227552275523,1674,0.2409326424870466,POINT (2489679.4274565396 6950289.685534097),910,303,239.0,0.17956080410767122,17.0
HAMPTON STATION,0.0427006123106671,0.12300123001230012,625,0.046632124352331605,POINT (2474174.1372587485 6951146.038722693),400,133,89.0,0.06375864474649148,52.0
CEDARS STATION,0.10054785691266517,0.16482164821648218,799,0.07901554404145077,POINT (2493073.662127452 6966816.899669039),759,201,114.0,0.11123322652081583,30.0
TYLER VERNON STATION,0.015468901063486949,0.0977859778597786,962,0.10880829015544043,POINT (2479405.713058615 6953705.08427976),231,92,137.0,0.05938301753554823,53.0
CONVENTION CENTER STATION,0.06123106670963584,0.14760147601476015,1548,0.21761658031088082,POINT (2490057.6420557876 6968189.598777602),515,173,221.0,0.12192004743622817,26.0
WEST END STATION,1.0,0.7822878228782288,5775,1.0,POINT (2489254.9178781332 6971245.3602089975),6341,1205,825.0,0.9455719557195572,1.0
AKARD STATION,0.426200451176281,0.7177121771217713,3796,0.633419689119171,POINT (2490727.1996200266 6971624.993213471),2780,1100,542.0,0.5508831921483761,3.0
ST PAUL STATION,0.4278117950370609,0.6205412054120542,2043,0.30958549222797926,POINT (2491821.3885782654 6972517.050779647),2790,942,292.0,0.4464375719285388,4.0
PEARL/ARTS DISTRICT STATION,0.6079600386722528,1.0,2349,0.366580310880829,POINT (2492642.2228691084 6973375.234003842),3908,1559,336.0,0.6456250970563336,2.0
SMU/MOCKINGBIRD STATION,0.28021269738962296,0.42927429274292744,2548,0.4028497409326425,POINT (2498288.2678178945 6992100.377732267),1874,631,364.0,0.34813735711370397,6.0
LOVERS LANE STATION,0.0854012246213342,0.0854858548585486,953,0.10751295336787565,POINT (2499200.62369132 6996035.18730254),665,72,136.0,0.09095031436727316,35.0
LEDBETTER STATION,0.10393167902030294,0.03936039360393604,877,0.0932642487046632,POINT (2494943.2683071806 6935854.505616614),780,-3,125.0,0.08512200008730128,38.0
KIEST STATION,0.08491782146310023,0.0830258302583026,538,0.031088082901554404,POINT (2491000.604895322 6944420.663144452),662,68,77.0,0.07098738902151436,47.0
VA MEDICAL CENTER STATION,0.04834031582339672,0.10578105781057812,538,0.031088082901554404,POINT (2493598.683637865 6939560.998639063),435,105,77.0,0.05838744308973149,54.0
CITYPLACE/UPTOWN STATION,0.19932323557847245,0.23985239852398524,1778,0.2603626943005181,POINT (2492879.4898757637 6980221.696407981),1372,323,254.0,0.22471539099536209,11.0
WHITE ROCK STATION,0.038994521430873355,0.13161131611316113,705,0.06217616580310879,POINT (2511139.4427477564 6998849.970725772),377,147,101.0,0.06794413119450415,50.0
LBJ / SKILLMAN STATION,0.07847244601998067,0.0971709717097171,1053,0.12564766839378239,POINT (2517201.028758469 7014283.031592626),622,91,150.0,0.0949408830358652,34.0
WALNUT HILL STATION,0.07798904286174671,0.16666666666666666,1012,0.11917098445595854,POINT (2501092.229460968 7008455.315200983),619,204,145.0,0.11045393421152966,31.0
LBJ / CENTRAL STATION,0.14244279729294232,0.2035670356703567,1185,0.15025906735751293,POINT (2504773.4848258756 7021471.1575630475),1019,264,169.0,0.15967792440343856,23.0
FOREST LN STATION,0.18159845310989364,0.26260762607626076,1271,0.1670984455958549,POINT (2501933.798867662 7017912.793610415),1262,360,182.0,0.19822574447297575,14.0
SPRING VALLEY STATION,0.09780857234933936,0.16420664206642066,1082,0.13212435233160624,POINT (2509179.631005051 7029767.295051649),742,200,155.0,0.12298703477417641,25.0
ARAPAHO CENTER STATION,0.0544634224943603,0.14268142681426815,921,0.10233160621761657,POINT (2513470.6208537603 7038061.055394774),473,165,132.0,0.08848496950515132,37.0
GALATYN PARK STATION,0.014502094747019013,0.1070110701107011,458,0.015544041450777202,POINT (2517024.03201227 7046045.965577368),225,107,65.0,0.03788982526387908,58.0
FOREST / JUPITER STATION,0.06896551724137932,0.14514145141451415,1959,0.29404145077720206,POINT (2527166.3883322077 7018140.843795445),563,169,280.0,0.14427848416861871,24.0
DOWNTOWN GARLAND STATION,0.09813084112149534,0.15990159901599016,3163,0.5168393782383419,POINT (2540640.840315183 7021383.816703196),744,193,452.0,0.2182506648743307,13.0
CITYLINE/BUSH STATION,0.07041572671608122,0.21033210332103322,974,0.11139896373056994,POINT (2519312.6296121017 7052248.910746001),572,275,139.0,0.1156406301209414,28.0
DOWNTOWN PLANO STATION,0.06090879793747986,0.14022140221402216,746,0.0699481865284974,POINT (2519884.6002626186 7059059.367356479),513,161,107.0,0.08299679615436982,40.0
PARKER ROAD STATION,0.29100870125684825,0.2736777367773678,1320,0.1761658031088083,POINT (2519855.739135572 7063642.875491121),1941,378,189.0,0.25796523559996815,8.0
VICTORY STATION,0.1822429906542056,0.42373923739237396,836,0.0854922279792746,POINT (2487031.6154305856 6974372.160223286),1266,622,119.0,0.21842936167001495,12.0
PARK LANE STATION,0.21962616822429906,0.3019680196801968,1587,0.2253886010362694,POINT (2500856.003767347 7004762.996700791),1498,424,227.0,0.24165223929126606,9.0
