service_id,date,exception_type
2,20241120,1
21,20241120,1
402,20241120,1
1002,20241120,1
1521,20241120,1
2,20241121,1
21,20241121,1
402,20241121,1
1002,20241121,1
1521,20241121,1
2,20241122,1
21,20241122,1
502,20241122,1
902,20241122,1
1621,20241122,1
2,20241127,1
21,20241127,1
402,20241127,1
1002,20241127,1
1521,20241127,1
4,20241128,1
20,20241128,1
3,20241129,1
19,20241129,1
2,20241204,1
21,20241204,1
402,20241204,1
1002,20241204,1
1521,20241204,1
2,20241205,1
21,20241205,1
402,20241205,1
1002,20241205,1
1521,20241205,1
2,20241206,1
21,20241206,1
502,20241206,1
902,20241206,1
1621,20241206,1
2,20241211,1
21,20241211,1
402,20241211,1
1002,20241211,1
1521,20241211,1
2,20241212,1
21,20241212,1
402,20241212,1
1002,20241212,1
1521,20241212,1
2,20241213,1
21,20241213,1
502,20241213,1
902,20241213,1
1621,20241213,1
2,20241218,1
21,20241218,1
402,20241218,1
1002,20241218,1
1521,20241218,1
2,20241219,1
21,20241219,1
402,20241219,1
1002,20241219,1
1521,20241219,1
2,20241220,1
21,20241220,1
502,20241220,1
902,20241220,1
1621,20241220,1
4,20241225,1
20,20241225,1
2,20241226,1
21,20241226,1
402,20241226,1
1002,20241226,1
1521,20241226,1
2,20241227,1
21,20241227,1
502,20241227,1
902,20241227,1
1621,20241227,1
4,20250101,1
20,20250101,1
2,20250102,1
21,20250102,1
402,20250102,1
1002,20250102,1
1521,20250102,1
2,20250103,1
21,20250103,1
502,20250103,1
902,20250103,1
1621,20250103,1
