OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,48,157,674401,3,481576744013,Block Group 3,G5030,S,1126944,7601,+29.5560931,-095.6237291
2,48,157,674401,4,481576744014,Block Group 4,G5030,S,1192541,84540,+29.5601315,-095.6034798
3,48,157,674401,5,481576744015,Block Group 5,G5030,S,1441072,55602,+29.5543951,-095.6115634
4,48,157,674404,1,481576744041,Block Group 1,G5030,S,8095119,1040411,+29.5237506,-095.5751123
5,48,157,674404,2,481576744042,Block Group 2,G5030,S,1308554,6697,+29.5475228,-095.5699770
6,48,157,674403,1,481576744031,Block Group 1,G5030,S,725362,0,+29.5476948,-095.5889178
7,48,157,674403,2,481576744032,Block Group 2,G5030,S,3099733,58135,+29.5396131,-095.5905855
8,48,093,950101,2,480939501012,Block Group 2,G5030,S,6430930,0,+32.1256427,-098.5381599
9,48,093,950102,1,480939501021,Block Group 1,G5030,S,189848854,14131307,+32.0725295,-098.5008248
10,48,093,950102,2,480939501022,Block Group 2,G5030,S,427888139,1683887,+32.1240891,-098.6603368
11,48,093,950101,1,480939501011,Block Group 1,G5030,S,1042565,0,+32.1084878,-098.5425673
12,48,093,950101,3,480939501013,Block Group 3,G5030,S,3224200,0,+32.0994712,-098.5283662
13,48,397,040202,1,483970402021,Block Group 1,G5030,S,2267059,23384,+32.9568506,-096.4550917
14,48,397,040202,2,483970402022,Block Group 2,G5030,S,953443,0,+32.9380746,-096.4557509
15,48,397,040103,2,483970401032,Block Group 2,G5030,S,3418523,3898952,+32.9819504,-096.4818291
16,48,397,040101,3,483970401013,Block Group 3,G5030,S,1651275,0,+32.9363283,-096.4681000
17,48,397,040101,1,483970401011,Block Group 1,G5030,S,903119,2729338,+32.9351432,-096.4791681
18,48,397,040203,1,483970402031,Block Group 1,G5030,S,5057796,55414,+32.9752222,-096.4528516
19,48,397,040303,2,483970403032,Block Group 2,G5030,S,2037353,6135657,+32.9001951,-096.4788842
20,48,397,040104,2,483970401042,Block Group 2,G5030,S,2550115,6362501,+32.9671626,-096.5106921
21,48,397,040406,1,483970404061,Block Group 1,G5030,S,991033,2091,+32.9492735,-096.3832105
22,48,397,040103,1,483970401031,Block Group 1,G5030,S,1487835,4495,+32.9571416,-096.4677116
23,48,397,040410,2,483970404102,Block Group 2,G5030,S,2096487,7069,+32.9523746,-096.3423629
24,48,017,950102,2,480179501022,Block Group 2,G5030,S,1787049851,1754716,+34.0387391,-102.8548337
25,48,017,950102,3,480179501023,Block Group 3,G5030,S,298329768,20559,+34.2203643,-102.6932292
26,48,017,950102,1,480179501021,Block Group 1,G5030,S,13124139,0,+34.2414825,-102.7290815
27,48,017,950101,2,480179501012,Block Group 2,G5030,S,41117855,0,+34.2207257,-102.7822425
28,48,017,950101,3,480179501013,Block Group 3,G5030,S,822624,0,+34.2237977,-102.7307091
29,48,017,950101,1,480179501011,Block Group 1,G5030,S,1402950,0,+34.2191496,-102.7222518
30,48,177,000300,1,481770003001,Block Group 1,G5030,S,656035,0,+29.5061361,-097.4434187
31,48,177,000100,1,481770001001,Block Group 1,G5030,S,266558346,2307119,+29.6208550,-097.5026507
32,48,177,000300,2,481770003002,Block Group 2,G5030,S,3580622,0,+29.5137862,-097.4399390
33,48,177,000500,2,481770005002,Block Group 2,G5030,S,131077861,164987,+29.3368401,-097.6852073
34,48,177,000200,3,481770002003,Block Group 3,G5030,S,39836281,267185,+29.5530505,-097.4559956
35,48,177,000600,2,481770006002,Block Group 2,G5030,S,439823409,472761,+29.2305845,-097.6044328
36,48,177,000200,1,481770002001,Block Group 1,G5030,S,303602754,805043,+29.4745371,-097.2992498
37,48,177,000100,2,481770001002,Block Group 2,G5030,S,339641320,343402,+29.6756479,-097.2914926
38,48,177,000600,1,481770006001,Block Group 1,G5030,S,503482393,980310,+29.3814276,-097.4518511
39,48,177,000500,1,481770005001,Block Group 1,G5030,S,335680260,1018578,+29.4107503,-097.7284458
40,48,177,000300,3,481770003003,Block Group 3,G5030,S,624591,0,+29.5018106,-097.4398457
41,48,177,000400,2,481770004002,Block Group 2,G5030,S,915203,0,+29.5028419,-097.4526623
42,48,177,000500,3,481770005003,Block Group 3,G5030,S,6804673,31686,+29.2801844,-097.7634461
43,48,485,012301,4,484850123014,Block Group 4,G5030,S,673394,260007,+33.8447785,-098.5763164
44,48,087,950300,1,480879503001,Block Group 1,G5030,S,2360487064,2279194,+34.9669789,-100.2705856
45,48,087,950300,2,480879503002,Block Group 2,G5030,S,14580588,0,+34.8720851,-100.2231269
46,48,087,950300,3,480879503003,Block Group 3,G5030,S,2656688,0,+34.8417628,-100.2138292
47,48,087,950300,4,480879503004,Block Group 4,G5030,S,1025588,0,+34.8531477,-100.2110499
48,48,085,031641,3,480850316413,Block Group 3,G5030,S,500479,0,+33.0971688,-096.7365684
49,48,085,031641,4,480850316414,Block Group 4,G5030,S,983934,0,+33.0894255,-096.7422662
50,48,085,031417,1,480850314171,Block Group 1,G5030,S,922803,0,+33.1226555,-096.6969318
51,48,085,031417,2,480850314172,Block Group 2,G5030,S,3724310,3196,+33.1285458,-096.6941273
52,48,085,030606,2,480850306062,Block Group 2,G5030,S,775088,0,+33.1561646,-096.6573571
53,48,085,030606,1,480850306061,Block Group 1,G5030,S,1274098,14738,+33.1669829,-096.6552453
54,48,085,031507,2,480850315072,Block Group 2,G5030,S,1188234,1408,+33.1079179,-096.6837844
